Operación nº,Tipo,Fecha y hora,Señal,Precio USD,Tamaño de la posición (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
521,Entrada en corto,2025-02-26 07:15,Short,2910.56,25.6,74510.336,1500.42,2.01,1500.42,2.01,-260.86,-0.35,20191.84,20.19
522,Salida en largo,2025-03-10 09:30,Exit,2901.24,40.1,116839.37,-499.65,-0.43,664.46,0.57,-499.65,-0.43,19692.2,19.69
522,Entrada en largo,2025-03-07 07:45,Long,2913.7,40.1,116839.37,-499.65,-0.43,664.46,0.57,-499.65,-0.43,19692.2,19.69
523,Salida en largo,2025-03-13 03:30,Exit,2941.84,38,110288.54,1501.38,1.36,1501.38,1.36,-186.2,-0.17,21193.58,21.19
523,Entrada en largo,2025-03-11 08:00,Long,2902.33,38,110288.54,1501.38,1.36,1501.38,1.36,-186.2,-0.17,21193.58,21.19
524,Salida en largo,2025-03-21 06:30,Exit,3025.69,38.5,116985.33,-496.26,-0.42,725.34,0.62,-496.26,-0.42,20697.31,20.70
524,Entrada en largo,2025-03-19 19:15,Long,3038.58,38.5,116985.33,-496.26,-0.42,725.34,0.62,-496.26,-0.42,20697.31,20.70
525,Salida en corto,2025-03-25 15:00,Exit,3033.33,30,90499.5,-500.4,-0.55,426,0.47,-500.4,-0.55,20196.91,20.20
525,Entrada en corto,2025-03-24 15:30,Short,3016.65,30,90499.5,-500.4,-0.55,426,0.47,-500.4,-0.55,20196.91,20.20
526,Salida en largo,2025-04-01 04:15,Exit,3142.79,28.8,89015.616,1496.74,1.68,1496.74,1.68,-407.23,-0.46,21693.65,21.69
526,Entrada en largo,2025-03-31 00:15,Long,3090.82,28.8,89015.616,1496.74,1.68,1496.74,1.68,-407.23,-0.46,21693.65,21.69
